Function,Utterance
matplotlib.collections.Collection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.Collection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.Collection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.Collection.set_facecolors,alias for set_facecolor
matplotlib.collections.Collection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.Collection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.Collection.set_hatch,Set the hatching pattern
matplotlib.collections.Collection.set_label,Set the label to s for auto legend .
matplotlib.collections.Collection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.Collection.set_linestyles,alias for set_linestyle
matplotlib.collections.Collection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.Collection.set_linewidths,alias for set_linewidth
matplotlib.collections.Collection.set_lw,alias for set_linewidth
matplotlib.collections.Collection.set_norm,set the normalization instance
matplotlib.collections.Collection.set_offset_position,Set how offsets are applied .
matplotlib.collections.Collection.set_offsets,Set the offsets for the collection .
matplotlib.collections.Collection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.Collection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.Collection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.Collection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.Collection.set_snap,Sets the snap setting which may be
matplotlib.collections.Collection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.Collection.set_url,Sets the url for the artist
matplotlib.collections.Collection.set_visible,Set the artist 's visiblity .
matplotlib.collections.Collection.set_zorder,Set the zorder for the artist .
matplotlib.collections.Collection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.Collection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.Collection.update_from,copy properties from other to self
matplotlib.collections.Collection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.EllipseCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.EllipseCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.EllipseCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.EllipseCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.EllipseCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.EllipseCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.EllipseCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.EllipseCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.EllipseCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.EllipseCollection.findobj,Find artist objects .
matplotlib.collections.EllipseCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.EllipseCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.EllipseCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.EllipseCollection.get_animated,Return the artist 's animated state
matplotlib.collections.EllipseCollection.get_array,Return the array
matplotlib.collections.EllipseCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.EllipseCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.EllipseCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.EllipseCollection.get_clip_box,Return artist clipbox
matplotlib.collections.EllipseCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.EllipseCollection.get_clip_path,Return artist clip path
matplotlib.collections.EllipseCollection.get_cmap,return the colormap
matplotlib.collections.EllipseCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.EllipseCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.EllipseCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.EllipseCollection.get_fill,return whether fill is set
matplotlib.collections.EllipseCollection.get_gid,Returns the group id
matplotlib.collections.EllipseCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.EllipseCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.EllipseCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.EllipseCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.EllipseCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.EllipseCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.EllipseCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.EllipseCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.EllipseCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.EllipseCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.EllipseCollection.get_url,Returns the url
matplotlib.collections.EllipseCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.EllipseCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.EllipseCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.EllipseCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.EllipseCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.EllipseCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.EllipseCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.EllipseCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.EllipseCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.EllipseCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.EllipseCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.EllipseCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.EllipseCollection.set,A property batch setter .
matplotlib.collections.EllipseCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.EllipseCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.EllipseCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.EllipseCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.EllipseCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.EllipseCollection.set_array,Set the image array from numpy array A
matplotlib.collections.EllipseCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.EllipseCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.EllipseCollection.set_clip_box,Set the artist 's clip Bbox .
